variable,value_type,rank,value,count
pco2_arterial__mean__last_12h,exact,1,38.0,7444
pco2_arterial__mean__last_12h,exact,2,40.0,7435
pco2_arterial__mean__last_12h,exact,3,39.0,7429
pco2_arterial__mean__last_12h,exact,4,37.0,7216
pco2_arterial__mean__last_12h,exact,5,41.0,7087
pco2_arterial__mean__last_12h,exact,6,42.0,6964
pco2_arterial__mean__last_12h,exact,7,36.0,6832
pco2_arterial__mean__last_12h,exact,8,43.0,6426
pco2_arterial__mean__last_12h,exact,9,44.0,6081
pco2_arterial__mean__last_12h,exact,10,35.0,6015
pco2_arterial__mean__last_12h,exact,11,34.0,5823
pco2_arterial__mean__last_12h,exact,12,45.0,5555
pco2_arterial__mean__last_12h,exact,13,46.0,4997
pco2_arterial__mean__last_12h,exact,14,33.0,4823
pco2_arterial__mean__last_12h,exact,15,47.0,4497
pco2_arterial__mean__last_12h,exact,16,32.0,4279
pco2_arterial__mean__last_12h,exact,17,48.0,3994
pco2_arterial__mean__last_12h,exact,18,49.0,3605
pco2_arterial__mean__last_12h,exact,19,31.0,3464
pco2_arterial__mean__last_12h,exact,20,50.0,3262
pco2_arterial__mean__last_12h,rounded_2dp,1,38.0,7444
pco2_arterial__mean__last_12h,rounded_2dp,2,40.0,7435
pco2_arterial__mean__last_12h,rounded_2dp,3,39.0,7429
pco2_arterial__mean__last_12h,rounded_2dp,4,37.0,7216
pco2_arterial__mean__last_12h,rounded_2dp,5,41.0,7087
pco2_arterial__mean__last_12h,rounded_2dp,6,42.0,6964
pco2_arterial__mean__last_12h,rounded_2dp,7,36.0,6832
pco2_arterial__mean__last_12h,rounded_2dp,8,43.0,6426
pco2_arterial__mean__last_12h,rounded_2dp,9,44.0,6081
pco2_arterial__mean__last_12h,rounded_2dp,10,35.0,6015
pco2_arterial__mean__last_12h,rounded_2dp,11,34.0,5823
pco2_arterial__mean__last_12h,rounded_2dp,12,45.0,5555
pco2_arterial__mean__last_12h,rounded_2dp,13,46.0,4997
pco2_arterial__mean__last_12h,rounded_2dp,14,33.0,4823
pco2_arterial__mean__last_12h,rounded_2dp,15,47.0,4497
pco2_arterial__mean__last_12h,rounded_2dp,16,32.0,4279
pco2_arterial__mean__last_12h,rounded_2dp,17,48.0,3994
pco2_arterial__mean__last_12h,rounded_2dp,18,49.0,3605
pco2_arterial__mean__last_12h,rounded_2dp,19,31.0,3464
pco2_arterial__mean__last_12h,rounded_2dp,20,50.0,3262
respiratory_rate_measured__mean__last_12h,exact,1,18.0,7956
respiratory_rate_measured__mean__last_12h,exact,2,20.0,7028
respiratory_rate_measured__mean__last_12h,exact,3,16.0,6725
respiratory_rate_measured__mean__last_12h,exact,4,19.0,6632
respiratory_rate_measured__mean__last_12h,exact,5,17.0,6393
respiratory_rate_measured__mean__last_12h,exact,6,21.0,5427
respiratory_rate_measured__mean__last_12h,exact,7,22.0,5372
respiratory_rate_measured__mean__last_12h,exact,8,15.0,4563
respiratory_rate_measured__mean__last_12h,exact,9,18.5,4139
respiratory_rate_measured__mean__last_12h,exact,10,17.5,4098
respiratory_rate_measured__mean__last_12h,exact,11,19.5,4029
respiratory_rate_measured__mean__last_12h,exact,12,23.0,3907
respiratory_rate_measured__mean__last_12h,exact,13,24.0,3888
respiratory_rate_measured__mean__last_12h,exact,14,16.5,3666
respiratory_rate_measured__mean__last_12h,exact,15,20.5,3633
respiratory_rate_measured__mean__last_12h,exact,16,18.66666603088379,3441
respiratory_rate_measured__mean__last_12h,exact,17,18.33333396911621,3432
respiratory_rate_measured__mean__last_12h,exact,18,17.33333396911621,3364
